year,apt_name,total_arrival_delay_minutes,disruption_delay,capacity_delay,weather_delay,event_delay,staffing_delay,total_taxiout_additional_minutes,avg_arrival_delay_per_flight_imputed,total_arrival_delay_minutes_imputed
2021,Dusseldorf,269,0,0,269,0,0,10974.895,0.05734385,269
2021,Dusseldorf,8,8,0,0,0,0,8838.763333,0.001948368,8
2022,Dusseldorf,90,0,0,90,0,0,6791.788333,0.025195969,90
2022,Dusseldorf,493,0,493,0,0,0,9564.733333,0.104118268,493
2022,Dusseldorf,2744,616,1393,495,0,240,14227.83667,0.448292763,2744
2022,Dusseldorf,1919,0,1782,137,0,0,17603.12333,0.279615329,1919
2022,Dusseldorf,351,0,351,0,0,0,18668.31167,0.049506347,351
2022,Dusseldorf,150,0,150,0,0,0,16706.175,0.021198417,150
2022,Dusseldorf,1169,0,672,497,0,0,17902.27667,0.157930289,1169
2022,Dusseldorf,545,0,47,498,0,0,19255.10333,0.075610433,545
2022,Dusseldorf,196,0,196,0,0,0,18042.925,0.027928185,196
2022,Dusseldorf,125,0,125,0,0,0,12619.76333,0.024149923,125
2022,Dusseldorf,579,0,0,579,0,0,9744.16,0.123401535,579
2023,Dusseldorf,197,112,0,85,0,0,9043.25,0.046605157,197
2023,Dusseldorf,721,49,199,473,0,0,10880.24,0.137779476,721
2023,Dusseldorf,347,120,0,227,0,0,13816.25167,0.056130702,347
2023,Dusseldorf,361,317,0,44,0,0,18361.915,0.049806843,361
2023,Dusseldorf,1841,0,1631,210,0,0,20304.75167,0.245532142,1841
2023,Dusseldorf,1521,57,111,1353,0,0,21589.005,0.199292453,1521
2023,Dusseldorf,421,0,421,0,0,0,20435.15333,0.05468953,421
2023,Dusseldorf,2985,322,1097,1566,0,0,21381.93167,0.384813717,2985
2023,Dusseldorf,2239,212,2027,0,0,0,23977.23667,0.291157347,2239
2023,Dusseldorf,680,0,133,547,0,0,13735.38833,0.128423041,680
2023,Dusseldorf,142,0,0,142,0,0,11159.08167,0.029320669,142
2024,Dusseldorf,914,0,0,914,0,0,10048.40333,0.193685103,914
2024,Dusseldorf,405,0,0,405,0,0,13754.13833,0.071152495,405
2024,Dusseldorf,357,0,0,357,0,0,14954.77333,0.054788214,357
2024,Dusseldorf,3932,0,206,3726,0,0,18240.905,0.539961549,3932
2024,Dusseldorf,268,0,0,268,0,0,20357.36167,0.035412262,268
2024,Dusseldorf,1313,0,275,1038,0,0,21157.69,0.170630279,1313
2024,Dusseldorf,1238,0,458,780,0,0,20280.9,0.163087867,1238
2024,Dusseldorf,59,0,59,0,0,0,21568.68167,0.007763158,59
2024,Dusseldorf,267,0,267,0,0,0,22207.50333,0.034482759,267
2024,Dusseldorf,303,0,0,303,0,0,13550.39167,0.055862832,303
2018,Munich,5899,0,0,5899,0,0,41258.46667,0.390688125,5899
2018,Munich,3791,0,0,3791,0,0,33493.06833,0.259479808,3791
2018,Munich,830,0,0,830,0,0,45202.345,0.050205662,830
2018,Munich,3370,0,0,3370,0,0,47895.885,0.201615316,3370
2018,Munich,19182,0,0,19182,0,0,60014.73167,1.073899899,19182
2018,Munich,26611,0,342,26269,0,0,63123.93667,1.471765942,26611
2018,Munich,10852,0,2042,8810,0,0,61809.18833,0.587197662,10852
2018,Munich,6680,0,0,6680,0,0,58258.22667,0.372622302,6680
2018,Munich,4297,0,0,4297,0,0,64582.025,0.230451571,4297
2018,Munich,4925,0,0,4925,0,0,64586.53833,0.261093145,4925
2018,Munich,3117,0,0,3117,0,0,59069.10167,0.18647921,3117
2018,Munich,412,0,0,412,0,0,43367.9,0.026203651,412
2019,Munich,6274,0,0,6274,0,0,33933.2,0.401715969,6274
2019,Munich,2939,0,0,2939,0,0,42276.7,0.196641242,2939
2019,Munich,1099,0,0,1099,0,0,54032.3,0.064193925,1099
2019,Munich,606,0,0,606,0,0,50419.6,0.03551128,606
2019,Munich,3233,0,0,3233,0,0,62405.4,0.172629218,3233
2019,Munich,9172,38,0,9134,0,0,60731.5,0.50431627,9172
2019,Munich,13073,0,0,13073,0,0,64047,0.695113522,13073
2019,Munich,5719,0,1615,4104,0,0,59215.5,0.316894775,5719
2019,Munich,809,0,0,809,0,0,64234.3,0.042740913,809
2019,Munich,5429,0,0,5429,0,0,64435.4,0.290974381,5429
2019,Munich,1432,0,0,1432,0,0,49030.3,0.09089178,1432
2019,Munich,2240,0,0,2240,0,0,40192.7,0.146856356,2240
2020,Munich,1631,0,0,1631,0,0,38125.9,0.106615244,1631
2020,Munich,4095,0,758,3035,0,302,39774.2,0.278419908,4095
2021,Munich,2629,0,0,2629,0,0,26665.3,0.331735016,2629
2021,Munich,872,0,0,872,0,0,31586.5,0.099373219,872
2021,Munich,2170,0,1373,797,0,0,31163.6,0.230141054,2170
2021,Munich,2728,0,1841,887,0,0,22686.2,0.263473054,2728
2021,Munich,1202,0,0,1202,0,0,18610.4,0.12503901,1202
2021,Munich,174,0,0,174,0,0,16989.6,0.018348624,174
2022,Munich,255,0,0,255,0,0,12935,0.031048338,255
2022,Munich,87,0,0,0,87,0,13495.4,0.011734556,87
2022,Munich,169,0,169,0,0,0,12930.1,0.018177907,169
2022,Munich,322,0,322,0,0,0,24757.4,0.027095254,322
2022,Munich,5712,0,0,5474,238,0,36790.4,0.425126526,5712
2022,Munich,12583,636,0,11682,265,0,38504.3,0.927676202,12583
2022,Munich,343,31,0,312,0,0,36268.6,0.026423234,343
2022,Munich,1841,0,0,1841,0,0,40512.6,0.131359258,1841
2022,Munich,2833,0,0,2537,0,296,45628.4,0.203447038,2833
2022,Munich,607,222,0,385,0,0,41601.3,0.043559383,607
2022,Munich,0,0,0,0,0,0,32667.6,0,0
2022,Munich,5986,0,0,5654,332,0,25294.4,0.562541115,5986
2023,Munich,3058,0,0,3058,0,0,21334.5,0.313063063,3058
2023,Munich,1361,0,0,1361,0,0,28477.2,0.124965568,1361
2023,Munich,770,0,0,770,0,0,36053.1,0.062041737,770
2023,Munich,2551,0,0,2551,0,0,37465.9,0.190586477,2551
2023,Munich,4553,0,0,4553,0,0,40409,0.334607187,4553
2023,Munich,16846,0,0,16621,0,225,43395.2,1.207252401,16846
2023,Munich,5217,0,280,4937,0,0,42722.4,0.372563022,5217
2023,Munich,612,0,0,612,0,0,43087.5,0.041986828,612
2023,Munich,1875,0,141,1734,0,0,42537.9,0.12716175,1875
2023,Munich,936,0,0,936,0,0,28303.4,0.075307748,936
2023,Munich,5906,950,3349,1607,0,0,23241.5,0.588071293,5906
2024,Munich,201,0,0,201,0,0,22439.3,0.018671621,201
2024,Munich,252,0,0,252,0,0,30772.5,0.020996501,252
2024,Munich,4613,0,280,3482,851,0,40873.9,0.333044546,4613
2024,Munich,14026,0,1348,12678,0,0,48295.6,0.936815389,14026
2024,Munich,13503,0,8,13495,0,0,51529.4,0.919071604,13503
2024,Munich,11276,25,0,11251,0,0,49473.1,0.754651318,11276
2024,Munich,8040,0,0,8040,0,0,49572.6,0.526971226,8040
2024,Munich,3826,0,0,3826,0,0,49023.7,0.253092545,3826
2024,Munich,3114,0,0,2875,0,239,50884.8,0.207254576,3114
2024,Munich,1707,263,0,1444,0,0,35541.5,0.134898056,1707
2024,Munich,1559,0,0,1559,0,0,27048.6,0.130025021,1559
