apt_name,total_taxiout_additional_minutes,delay_type,delay_minutes
Cologne-Bonn,10015.53167,Disruption,0
Cologne-Bonn,10015.53167,Capacity,1764
Cologne-Bonn,10015.53167,Weather,1783
Cologne-Bonn,10015.53167,Event,0
Cologne-Bonn,10015.53167,Staffing,0
Cologne-Bonn,11689.43333,Disruption,0
Cologne-Bonn,11689.43333,Capacity,3983
Cologne-Bonn,11689.43333,Weather,0
Cologne-Bonn,11689.43333,Event,0
Cologne-Bonn,11689.43333,Staffing,0
Cologne-Bonn,8341.346667,Disruption,0
Cologne-Bonn,8341.346667,Capacity,1176
Cologne-Bonn,8341.346667,Weather,1093
Cologne-Bonn,8341.346667,Event,0
Cologne-Bonn,8341.346667,Staffing,0
Cologne-Bonn,8705.458333,Disruption,0
Cologne-Bonn,8705.458333,Capacity,1256
Cologne-Bonn,8705.458333,Weather,1436
Cologne-Bonn,8705.458333,Event,0
Cologne-Bonn,8705.458333,Staffing,0
Cologne-Bonn,9518.975,Disruption,0
Cologne-Bonn,9518.975,Capacity,1852
Cologne-Bonn,9518.975,Weather,0
Cologne-Bonn,9518.975,Event,0
Cologne-Bonn,9518.975,Staffing,0
Cologne-Bonn,11411.43667,Disruption,0
Cologne-Bonn,11411.43667,Capacity,4007
Cologne-Bonn,11411.43667,Weather,1409
Cologne-Bonn,11411.43667,Event,0
Cologne-Bonn,11411.43667,Staffing,0
Cologne-Bonn,13110.14833,Disruption,2393
Cologne-Bonn,13110.14833,Capacity,7208
Cologne-Bonn,13110.14833,Weather,0
Cologne-Bonn,13110.14833,Event,0
Cologne-Bonn,13110.14833,Staffing,0
Cologne-Bonn,15437.94667,Disruption,0
Cologne-Bonn,15437.94667,Capacity,8062
Cologne-Bonn,15437.94667,Weather,0
Cologne-Bonn,15437.94667,Event,0
Cologne-Bonn,15437.94667,Staffing,0
Cologne-Bonn,15484.90667,Disruption,0
Cologne-Bonn,15484.90667,Capacity,8567
Cologne-Bonn,15484.90667,Weather,318
Cologne-Bonn,15484.90667,Event,0
Cologne-Bonn,15484.90667,Staffing,0
Cologne-Bonn,16098.06,Disruption,0
Cologne-Bonn,16098.06,Capacity,9203
Cologne-Bonn,16098.06,Weather,2574
Cologne-Bonn,16098.06,Event,0
Cologne-Bonn,16098.06,Staffing,0
Cologne-Bonn,15752.12333,Disruption,0
Cologne-Bonn,15752.12333,Capacity,7879
Cologne-Bonn,15752.12333,Weather,3251
Cologne-Bonn,15752.12333,Event,0
Cologne-Bonn,15752.12333,Staffing,0
Cologne-Bonn,13554.85,Disruption,0
Cologne-Bonn,13554.85,Capacity,7375
Cologne-Bonn,13554.85,Weather,430
Cologne-Bonn,13554.85,Event,0
Cologne-Bonn,13554.85,Staffing,0
Cologne-Bonn,9077.616667,Disruption,0
Cologne-Bonn,9077.616667,Capacity,3416
Cologne-Bonn,9077.616667,Weather,0
Cologne-Bonn,9077.616667,Event,0
Cologne-Bonn,9077.616667,Staffing,0
Cologne-Bonn,9782.898333,Disruption,0
Cologne-Bonn,9782.898333,Capacity,3054
Cologne-Bonn,9782.898333,Weather,2248
Cologne-Bonn,9782.898333,Event,0
Cologne-Bonn,9782.898333,Staffing,0
